age.group,fbc.positive,fbc.total,bbc.positive,bbc.total,tnbc.positive,tnbc.total,mbc.positive,mbc.total,oc.positive,oc.total,sp.positive,sp.total
≤20,539,10945,132,2387,168,1721,0,0,51,787,1,11
21-25,1036,14664,210,3168,385,2416,0,0,126,1271,7,63
26-30,1857,19344,408,4242,662,3338,0,0,212,1715,36,166
31-35,2620,24193,581,5302,920,4257,0,33,420,2344,77,355
36-40,3253,29454,735,6513,1167,4997,2,206,505,3039,172,655
41-45,3318,33922,711,7264,1164,5719,7,262,611,3597,247,1013
46-50,2889,37448,631,8202,999,6312,9,367,560,3950,344,1545
51-55,2364,39501,544,8784,848,6420,19,407,432,4208,369,2049
56-60,1561,40485,333,9045,526,6413,29,500,298,4480,432,2639
61-65,923,40168,211,8945,341,6234,33,557,185,4165,358,2971
66-70,433,39037,90,8605,149,5943,53,567,74,4075,361,3314
71-75,175,36197,29,7889,61,5394,11,448,20,3862,280,3417
76-80,64,33281,12,7228,22,4995,8,441,9,3409,246,3421
>80,19,28433,2,6202,8,4327,6,344,2,2893,245,3382
